list	block	trial	calibrate	exp_sent	preview	$sent_unmasked	$smsm_1	$dmsm_2	$smsd_3	$dmsd_4	letter_pos	quest	$quest_diff_2	$quest_easy_1
1	1	17	0	1	1	"The little girl infected others with her sunny idealism while skipping around town.     xxXxx"	"The little girl infected others with her sunny lbacilew while skipping around town.     xxXxx"	"The little girl infected others with her sunny hlrxdhao while skipping around town.     xxXxx"	"The little girl infected others with her sunny rcscaruw while skipping around town.     xxXxx"	"The little girl infected others with her sunny nrvwsnao while skipping around town.     xxXxx"	47	0	"x"	"x"
1	1	18	1	0	0	"Brazil is the likely candidate to become soccer champion during the next competition.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	1	"x"	"Who is likely to win th enext soccer competition?"
1	1	19	0	0	0	"Current fads include neon polo shirts and snazzy trousers ripped at the knees.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	1	20	0	1	1	"The drill sergeant yelled stern slogans at the new recruits to raise their spirits.     xxXxx"	"The drill seargent yelled stern eiapcre at the new recruits to raise their spirits.     xxXxx"	"The drill seargent yelled stern advjwua at the new recruits to raise their spirits.     xxXxx"	"The drill seargent yelled stern uacocru at the new recruits to raise their spirits.     xxXxx"	"The drill seargent yelled stern asvuwxa at the new recruits to raise their spirits.     xxXxx"	32	0	"x"	"x"
1	1	21	0	0	0	"During the move he found a brass clarinet buried under old books and shoeboxes.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	1	22	1	0	0	"In Alaska they photographed a large caribou grazing in the fields with her calves.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	2	"Why did they photograph the caribou?"	"x"
1	1	23	0	0	0	"The soft cashmere cardigan rested gently across the young girl’s shoulders.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	1	24	0	1	1	"The old man prefers family visits on quiet holidays such as Easter or Christmas.     xxXxx"	"The old man prefers family visits on quiet fcilbcje such as Easter or Christmas.     xxXxx"	"The old man prefers family visits on quiet tvdhlwpa such as Easter or Christmas.     xxXxx"	"The old man prefers family visits on quiet naarccvu such as Easter or Christmas.     xxXxx"	"The old man prefers family visits on quiet cvsnrwea such as Easter or Christmas.     xxXxx"	43	0	"x"	"x"
1	1	25	0	1	0	"The small family was excited after the quick adoption of the new baby girl.     xxXxx"	"The small family was excited after the quick cbaqblar of the new baby girl.     xxXxx"	"The small family was excited after the quick wlvyfhvu of the new baby girl.     xxXxx"	"The small family was excited after the quick coaexrar of the new baby girl.     xxXxx"	"The small family was excited after the quick wrvzsnvx of the new baby girl.     xxXxx"	45	0	"x"	"x"
1	1	26	1	1	0	"The botanist gathered a large quantity of green foliage to study later in the lab.     xxXxx"	"The botanist gathered a large quantity of green kailcpa to study later in the lab.     xxXxx"	"The botanist gathered a large quantity of green tvdhwjr to study later in the lab.     xxXxx"	"The botanist gathered a large quantity of green ncxrcos to study later in the lab.     xxXxx"	"The botanist gathered a large quantity of green ovsnwur to study later in the lab.     xxXxx"	48	2	"Why did the botanist gather the foliage?"	"x"
1	2	27	0	1	2	"The scientist inspected the loose proteins of the damaged viral structure.     xxXxx"	"The scientist inspected the loose qnabalre of the damaged viral structure.     xxXxx"	"The scientist inspected the loose yevfrhua of the damaged viral structure.     xxXxx"	"The scientist inspected the loose ezaxsreu of the damaged viral structure.     xxXxx"	"The scientist inspected the loose zevsrnxa of the damaged viral structure.     xxXxx"	34	0	"x"	"x"
1	2	28	0	0	0	"On both sides of the old wooden ship heavy barnacle growth covered all the windows.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	2	29	0	1	3	"Robert was excited by the sleek drawings of the new sports car.     xxXxx"	"Robert was excited by the sleek bncmlrpe of the new sports car.     xxXxx"	"Robert was excited by the sleek lewchuja of the new sports car.     xxXxx"	"Robert was excited by the sleek czcmrrou of the new sports car.     xxXxx"	"Robert was excited by the sleek rewenxua of the new sports car.     xxXxx"	32	0	"x"	"x"
1	2	30	1	0	0	"Compliance with the proper operating sequence ensures the safety of the power plant.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	1	"x"	"What does the operating sequence keep safe?"
1	2	31	0	0	0	"The hiker knew that the endless journey ahead of him would be a tough challenge.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	2	32	0	1	3	"Hikers often frequented the windy plateau to enjoy the scenery and wildlife.     xxXxx"	"Hikers often frequented the windy qicbacv to enjoy the scenery and wildlife.     xxXxx"	"Hikers often frequented the windy ydwfrwn to enjoy the scenery and wildlife.     xxXxx"	"Hikers often frequented the windy uacxscv to enjoy the scenery and wildlife.     xxXxx"	"Hikers often frequented the windy zswsrwn to enjoy the scenery and wildlife.     xxXxx"	34	0	"x"	"x"
1	2	33	0	1	1	"Jill was dismayed when I lost her thick pencil during art class last week.     xxXxx"	"Jill was dismayed when I lost her thick qaroli during art class last week.     xxXxx"	"Jill was dismayed when I lost her thick yrumhd during art class last week.     xxXxx"	"Jill was dismayed when I lost her thick esrsra during art class last week.     xxXxx"	"Jill was dismayed when I lost her thick zrxmns during art class last week.     xxXxx"	40	0	"x"	"x"
1	2	34	1	1	3	"Clarissa repainted the manly eyebrows on the portrait of her female patron.     xxXxx"	"Clarissa repainted the manly sjadncme on the portrait of her female patron.     xxXxx"	"Clarissa repainted the manly rprkevca on the portrait of her female patron.     xxXxx"	"Clarissa repainted the manly svsezamu on the portrait of her female patron.     xxXxx"	"Clarissa repainted the manly rsrvevea on the portrait of her female patron.     xxXxx"	29	2	"Why did Clarissa repait the eyebrows?"	"x"
1	2	35	0	1	2	"Desmond could only stare at his brother's dirty injury on the muddy football field.     xxXxx"	"Desmond could only stare at his brother's dirty lryvnj  on the muddy football field.     xxXxx"	"Desmond could only stare at his brother's dirty huqnep on the muddy football field.     xxXxx"	"Desmond could only stare at his brother's dirty rsuvzv on the muddy football field.     xxXxx"	"Desmond could only stare at his brother's dirty nxwnea on the muddy football field.     xxXxx"	48	0	"x"	"x"
1	2	36	0	0	0	"If you have a serious alcohol problem you should seek the therapeutic help you need.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	2	37	0	1	2	"Crack dealers like to hang around older clinics in the downtown area.     xxXxx"	"Crack dealers like to hang around older stlrloe in the downtown area.     xxXxx"	"Crack dealers like to hang around older mdhuhma in the downtown area.     xxXxx"	"Crack dealers like to hang around older szrsrou in the downtown area.     xxXxx"	"Crack dealers like to hang around older msnxnma in the downtown area.     xxXxx"	40	0	"x"	"x"
1	2	38	1	0	0	"Deep in the isolated swamp the bacterial microbe thrives in the murky waters.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	1	"x"	"What thrives in the murky waters?"
1	2	39	0	1	0	"Bells rang wildly after the pious ritual ended and the monks left the church.     xxXxx"	"Bells rang wildly after the pious nlbvci ended and the monks left the church.     xxXxx"	"Bells rang wildly after the pious ehfnwd ended and the monks left the church.     xxXxx"	"Bells rang wildly after the pious zrxvca ended and the monks left the church.     xxXxx"	"Bells rang wildly after the pious ensnws ended and the monks left the church.     xxXxx"	34	0	"x"	"x"
1	2	40	0	0	0	"The tangy grilled chicken should be served with a side of rice pilaf and peas.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	2	41	0	1	0	"Students crowded the instructor after the final workshop of the semester had ended.     xxXxx"	"Students crowded the instructor after the final manhefaq of the semester had ended.     xxXxx"	"Students crowded the instructor after the final cvebatvy of the semester had ended.     xxXxx"	"Students crowded the instructor after the final mazmunae of the semester had ended.     xxXxx"	"Students crowded the instructor after the final evezacvz of the semester had ended.     xxXxx"	48	0	"x"	"x"
1	2	42	1	1	4	"The decorator decided to paint over the khaki squares on his apartment wall.     xxXxx"	"The decorator decided to paint over the khaki egvcnae on his apartment wall.     xxXxx"	"The decorator decided to paint over the khaki ajnxera on his apartment wall.     xxXxx"	"The decorator decided to paint over the khaki uwvczsu on his apartment wall.     xxXxx"	"The decorator decided to paint over the khaki axnwera on his apartment wall.     xxXxx"	46	1	"x"	"Where was the decerator painting?"
1	2	43	0	1	3	"Kevin had difficulty napping at the noisy railway station on Center Street.     xxXxx"	"Kevin had difficulty napping at the noisy nclimcj station on Center Street.     xxXxx"	"Kevin had difficulty napping at the noisy ewhdcwp station on Center Street.     xxXxx"	"Kevin had difficulty napping at the noisy zcramcv station on Center Street.     xxXxx"	"Kevin had difficulty napping at the noisy ewnsewa station on Center Street.     xxXxx"	42	0	"x"	"x"
1	2	44	0	1	0	"A sense of tense hysteria filled the bank patrons as the man waved the gun.     xxXxx"	"A sense of tense fjebanlc filled the bank patrons as the man waved the gun.     xxXxx"	"A sense of tense tpafrehw filled the bank patrons as the man waved the gun.     xxXxx"	"A sense of tense nvuxszrc filled the bank patrons as the man waved the gun.     xxXxx"	"A sense of tense cavsrenw filled the bank patrons as the man waved the gun.     xxXxx"	17	0	"x"	"x"
1	2	45	0	1	1	"The customer was confused by the short receipt he was given for his large order.     xxXxx"	"The customer was confused by the short naoalqb he was given for his large order.     xxXxx"	"The customer was confused by the short ermrhyf he was given for his large order.     xxXxx"	"The customer was confused by the short zsosrex he was given for his large order.     xxXxx"	"The customer was confused by the short ermrnzs he was given for his large order.     xxXxx"	39	0	"x"	"x"
1	2	46	1	1	0	"The young boy kicked the squat plough that had become stuck on the tree roots.     xxXxx"	"The young boy kicked the squat qiavpf that had become stuck on the tree roots.     xxXxx"	"The young boy kicked the squat ydvnjt that had become stuck on the tree roots.     xxXxx"	"The young boy kicked the squat eaavon that had become stuck on the tree roots.     xxXxx"	"The young boy kicked the squat zsvnuc that had become stuck on the tree roots.     xxXxx"	31	2	"Why did the boy kick the plough?"	"x"
1	3	47	0	1	3	"The tarps were spread across the whole library during the recent renovation.     xxXxx"	"The tarps were spread across the whole ildncnj during the recent renovation.     xxXxx"	"The tarps were spread across the whole dhkewep during the recent renovation.     xxXxx"	"The tarps were spread across the whole arezczv during the recent renovation.     xxXxx"	"The tarps were spread across the whole snvewea during the recent renovation.     xxXxx"	39	0	"x"	"x"
1	3	48	0	1	0	"The groom experienced a vague jealousy as he watched his bride talk to an old pal.     xxXxx"	"The groom experienced a vague yaciavej as he watched his bride talk to an old pal.     xxXxx"	"The groom experienced a vague qrwdvnap as he watched his bride talk to an old pal.     xxXxx"	"The groom experienced a vague uscvnvuv as he watched his bride talk to an old pal.     xxXxx"	"The groom experienced a vague wrwsvnva as he watched his bride talk to an old pal.     xxXxx"	29	0	"x"	"x"
1	3	49	0	1	0	"The biologist showed pictures of a  hairy species of ape to the students.     xxXxx"	"The biologist showed pictures of a  hairy eqaslae of ape to the students.     xxXxx"	"The biologist showed pictures of a  hairy ayrmhra of ape to the students.     xxXxx"	"The biologist showed pictures of a  hairy uesorsu of ape to the students.     xxXxx"	"The biologist showed pictures of a  hairy azrmnra of ape to the students.     xxXxx"	42	0	"x"	"x"
1	3	50	1	1	4	"Mary was consumed by moral anxiety while watching her sister steal the candy.     xxXxx"	"Mary was consumed by moral crvlabj while watching her sister steal the candy.     xxXxx"	"Mary was consumed by moral wunhrfp while watching her sister steal the candy.     xxXxx"	"Mary was consumed by moral crzrsxv while watching her sister steal the candy.     xxXxx"	"Mary was consumed by moral wxenrsa while watching her sister steal the candy.     xxXxx"	27	2	"Why was Mary anxious?"	"x"
1	3	51	0	0	0	"A few minutes of focused silence allowed the master thief to develop his plan.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	3	52	0	1	4	"Rachel disliked her mother's lumpy biscuits served with cold potatoes.     xxXxx"	"Rachel disliked her mother's lumpy dleovlbe served with cold potatoes.     xxXxx"	"Rachel disliked her mother's lumpy khamnhfa served with cold potatoes.     xxXxx"	"Rachel disliked her mother's lumpy eruovrxu served with cold potatoes.     xxXxx"	"Rachel disliked her mother's lumpy vnamrnsa served with cold potatoes.     xxXxx"	35	0	"x"	"x"
1	3	53	0	0	0	"After the cancer operation the critical interval passed without complications.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	3	54	1	1	1	"The audience was delighted by the witty quality of the comic's performance.     xxXxx"	"The audience was delighted by the witty gvcilbj of the comic's performance.     xxXxx"	"The audience was delighted by the witty jnwdhfp of the comic's performance.     xxXxx"	"The audience was delighted by the witty wvcarxv of the comic's performance.     xxXxx"	"The audience was delighted by the witty xnwsnsa of the comic's performance.     xxXxx"	40	2	"Why was the audience delighted?"	"x"
1	3	55	0	1	4	"The queen descended the stair with sober dignity to address her loving subjects.     xxXxx"	"The queen descended the stair with sober blprlbj to address her loving subjects.     xxXxx"	"The queen descended the stair with sober lhjuhfp to address her loving subjects.     xxXxx"	"The queen descended the stair with sober crnerxv to address her loving subjects.     xxXxx"	"The queen descended the stair with sober rnuxnsa to address her loving subjects.     xxXxx"	41	0	"x"	"x"
1	3	56	0	0	0	"All of the roommates watch their favorite episode while eating popcorn and candy.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	3	57	0	1	1	"Bobby explained the plan to Jimmy in a husky whisper that the teacher easily heard.     xxXxx"	"Bobby explained the plan to Jimmy in a husky mfleqan that the teacher easily heard.     xxXxx"	"Bobby explained the plan to Jimmy in a husky cthvyre that the teacher easily heard.     xxXxx"	"Bobby explained the plan to Jimmy in a husky mnruesz that the teacher easily heard.     xxXxx"	"Bobby explained the plan to Jimmy in a husky ecnvzre that the teacher easily heard.     xxXxx"	45	0	"x"	"x"
1	3	58	1	0	0	"A natural or synthetic polymer could be used to help with the construction.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	1	"x"	"What can help with the construction?"
1	3	59	0	0	0	"Within the inner ear the spiral shaped cochlea contains essential nerve endings.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	3	60	0	1	4	"Mary was upset when she discovered that the wrong episode of her show was recorded.     xxXxx"	"Mary was upset when she discovered that the wrong aqleaba of her show was recorded.     xxXxx"	"Mary was upset when she discovered that the wrong ryhavlr of her show was recorded.     xxXxx"	"Mary was upset when she discovered that the wrong seruacs of her show was recorded.     xxXxx"	"Mary was upset when she discovered that the wrong rznavrvof her show was recorded.     xxXxx"	50	0	"x"	"x"
1	3	61	0	1	2	"The smoke smelled terrible near the awful factory that ran day and night.     xxXxx"	"The smoke smelled terrible near the awful kcobanj that ran day and night.     xxXxx"	"The smoke smelled terrible near the awful twmfvep that ran day and night.     xxXxx"	"The smoke smelled terrible near the awful ncoxazv that ran day and night.     xxXxx"	"The smoke smelled terrible near the awful owmsvea that ran day and night.     xxXxx"	42	0	"x"	"x"
1	3	62	1	1	1	"The grapes now had the dried ridges of raisins after being left out all night.     xxXxx"	"The grapes now had the dried nlbpae of raisins after being left out all night.     xxXxx"	"The grapes now had the dried ehljra of raisins after being left out all night.     xxXxx"	"The grapes now had the dried zrcosu of raisins after being left out all night.     xxXxx"	"The grapes now had the dried enrvra of raisins after being left out all night.     xxXxx"	29	1	"x"	"How did the grapes dry out?"
1	3	63	0	1	1	"The squire played with his master's rusty shield while waiting for him to return.     xxXxx"	"The squire played with his master's rusty eflnib while waiting for him to return.     xxXxx"	"The squire played with his master's rusty athrdl while waiting for him to return.     xxXxx"	"The squire played with his master's rusty unrsac while waiting for him to return.     xxXxx"	"The squire played with his master's rusty acnrsr while waiting for him to return.     xxXxx"	42	0	"x"	"x"
1	3	64	0	1	3	"The children dared him to drink the salty cocktail of anchovies and mustard.     xxXxx"	"The children dared him to drink the salty oaohbcli of anchovies and mustard.     xxXxx"	"The children dared him to drink the salty mvmbfwhd of anchovies and mustard.     xxXxx"	"The children dared him to drink the salty oaomxcra of anchovies and mustard.     xxXxx"	"The children dared him to drink the salty mvmzswns of anchovies and mustard.     xxXxx"	42	0	"x"	"x"
1	3	65	0	1	2	"The majority of the lucky students rejoiced after hearing their test was cancelled.     xxXxx"	"The majority of the lucky ebvbarbe rejoiced after hearing their test was cancelled.     xxXxx"	"The majority of the lucky afnlrufa rejoiced after hearing their test was cancelled.     xxXxx"	"The majority of the lucky uxvcsrxu rejoiced after hearing their test was cancelled.     xxXxx"	"The majority of the lucky asnrrxsa rejoiced after hearing their test was cancelled.     xxXxx"	26	0	"x"	"x"
1	3	66	1	1	4	"The small poodle obtained minor injuries after he fell down the stairs.     xxXxx"	"The small poodle obtained minor lryvnlae after he fell down the stairs.     xxXxx"	"The small poodle obtained minor huqnehra after he fell down the stairs.     xxXxx"	"The small poodle obtained minor rsuvzrsu after he fell down the stairs.     xxXxx"	"The small poodle obtained minor nxwnenra after he fell down the stairs.     xxXxx"	32	2	"Why did the poodle become injured?"	"x"
1	4	67	0	1	4	"Roger's grandmother loved the sweet telegram he sent to her on her 97th birthday.     xxXxx"	"Roger's grandmother loved the sweet baiapncw he sent to her on her 97th birthday.     xxXxx"	"Roger's grandmother loved the sweet frdrjewo he sent to her on her 97th birthday.     xxXxx"	"Roger's grandmother loved the sweet xsasozcw he sent to her on her 97th birthday.     xxXxx"	"Roger's grandmother loved the sweet srsruewo he sent to her on her 97th birthday.     xxXxx"	36	0	"x"	"x"
1	4	68	0	0	0	"Recovering from an intense surgery often takes many weeks of bed rest and care.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	4	69	0	1	0	"Dillon was having trouble making his steep mortgage payments every month.     xxXxx"	"Dillon was having trouble making his steep wanbpcpa payments every month.     xxXxx"	"Dillon was having trouble making his steep ovefjwjr payments every month.     xxXxx"	"Dillon was having trouble making his steep wazxocos payments every month.     xxXxx"	"Dillon was having trouble making his steep ovesuwur payments every month.     xxXxx"	43	0	"x"	"x"
1	4	70	1	1	4	"The crowd cheered wildly after the naval ceremony for the retiring admiral.     xxXxx"	"The crowd cheered wildly after the naval oanawarj for the retiring admiral.     xxXxx"	"The crowd cheered wildly after the naval mrerovup for the retiring admiral.     xxXxx"	"The crowd cheered wildly after the naval oszswarv for the retiring admiral.     xxXxx"	"The crowd cheered wildly after the naval mrerovxa for the retiring admiral.     xxXxx"	41	2	"Why did the crowd cheer for the admiral?"	"x"
1	4	71	0	1	3	"Timothy purchased a small speaker for his new computer to listen to his music.     xxXxx"	"Timothy purchased a small eqachsn for his new computer to listen to his music.     xxXxx"	"Timothy purchased a small ayrxbre for his new computer to listen to his music.     xxXxx"	"Timothy purchased a small uescmsz for his new computer to listen to his music.     xxXxx"	"Timothy purchased a small azrwzre for his new computer to listen to his music.     xxXxx"	26	0	"x"	"x"
1	4	72	0	1	4	"The used car salesman showed slick sympathy to the impoverished couple.     xxXxx"	"The used car salesman showed slick ejwqcbfj to the impoverished couple.     xxXxx"	"The used car salesman showed slick apoywftp to the impoverished couple.     xxXxx"	"The used car salesman showed slick uvwecxnv to the impoverished couple.     xxXxx"	"The used car salesman showed slick vaozwsca to the impoverished couple.     xxXxx"	35	0	"x"	"x"
1	4	73	0	1	2	"The duke's speech used grand language designed to calm the unruly mob.     xxXxx"	"The duke's speech used grand icrpvcpa designed to calm the unruly mob.     xxXxx"	"The duke's speech used grand dwujnwjr designed to calm the unruly mob.     xxXxx"	"The duke's speech used grand acrovcos designed to calm the unruly mob.     xxXxx"	"The duke's speech used grand swxunwur designed to calm the unruly mob.     xxXxx"	29	0	"x"	"x"
1	4	74	1	1	0	"The public listened attentively to the smart rhetoric of the politicians.     xxXxx"	"The public listened attentively to the smart nfabanlo of the politicians.     xxXxx"	"The public listened attentively to the smart etrfvehm of the politicians.     xxXxx"	"The public listened attentively to the smart znsxazro of the politicians.     xxXxx"	"The public listened attentively to the smart ecrsvenm of the politicians.     xxXxx"	45	2	"Why were the people listening to the politicans?"	"x"
1	4	75	0	1	0	"Leo cleaned the sandy sponge after washing his car at the beach.     xxXxx"	"Leo cleaned the sandy eqcrpa after washing his car at the beach.     xxXxx"	"Leo cleaned the sandy ayvujr after washing his car at the beach.     xxXxx"	"Leo cleaned the sandy uearos after washing his car at the beach.     xxXxx"	"Leo cleaned the sandy azvxur  after washing his car at the beach.     xxXxx"	21	0	"x"	"x"
1	4	76	0	1	3	"Margaret was puzzled by the forty potatoes she discovered in the pantry.     xxXxx"	"Margret was puzzled by the forty qabcbaceshe discovered in the pantry.     xxXxx"	"Margret was puzzled by the forty yvfxfvra she discovered in the pantry.     xxXxx"	"Margret was puzzled by the forty uaxcxasu she discovered in the pantry.     xxXxx"	"Margret was puzzled by the forty zvswsvra she discovered in the pantry.     xxXxx"	33	0	"x"	"x"
1	4	77	0	1	1	"The crew cheerfully obeyed the orders of the stout captain because he paid well.     xxXxx"	"The crew cheerfully obeyed the orders of the stout ocqbclr because he paid well.     xxXxx"	"The crew cheerfully obeyed the orders of the stout mwyfwhu because he paid well.     xxXxx"	"The crew cheerfully obeyed the orders of the stout ocexcrn because he paid well.     xxXxx"	"The crew cheerfully obeyed the orders of the stout mwzswnx because he paid well.     xxXxx"	51	0	"x"	"x"
1	4	78	1	1	2	"Claire listened to the faint singing from the valley as she hiked in the mountain.     xxXxx"	"Claire listened to the faint elrplrp from the valley as she hiked in the mountain.     xxXxx"	"Claire listened to the faint ahujhuj from the valley as she hiked in the mountain.     xxXxx"	"Claire listened to the faint ureoreo from the valley as she hiked in the mountain.     xxXxx"	"Claire listened to the faint anxunxu from the valley as she hiked in the mountain.     xxXxx"	29	1	"x"	"To what did Claire listen as she hiked?"
1	4	79	0	0	0	"The space program needs another century before even thinking of colonization.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	4	80	0	0	0	"The rough scratchy blanket belonged to my grandmother who left town recently.     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	"x     xxXxx"	0	0	"x"	"x"
1	4	81	0	1	3	"The humid afternoon broke into a milky twilight as the sun set in the mountains.     xxXxx"	"The humid afternoon broke into a milky bmlilpfb as the sun set in the mountains.     xxXxx"	"The humid afternoon broke into a milky fchdhjtf as the sun set in the mountains.     xxXxx"	"The humid afternoon broke into a milky xmraronx as the sun set in the mountains.     xxXxx"	"The humid afternoon broke into a milky suemnucs as the sun set in the mountains.     xxXxx"	39	0	"x"	"x"
