"Date","Percentage_smarter_than","Group_work.","Group_interactions","Who_is_smarter.","How_do_you_know_who_is_smarter.","uvid","courseID","courseName","instructor_last_name","major_description","gender2"
"2019-01-12",NA,1,1,2,"He just kind of understands certain things that I cant wrap my head around, especially vectors. I also make some dumb mistakes sometimes that he corrects me on.",10827823,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Pre-Professional","F"
"2019-01-12",NA,1,2,2,"I am a bit rusty with the concepts and therefore am taking a bit more time to catch back up. Also, Kevin is made for school, the man is a machine at learning things. He learns better/faster.",10718468,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Information Technology","M"
"2019-01-12",NA,1,1,1,"I am usually explaining to him what the answer is and how I got  it.",10694781,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-12",NA,1,2,2,"All of my study group combined is smarter than me alone.",10767399,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-13",NA,1,1,2,"We are identical twins. I don't think he is smarter or that I am smarter. ",10758539,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-13",NA,1,2,1,"My brother probably has Alzheimer's. 
Jokes aside, ""smarter"" is vague, and you didn't give me the option of us being equally intelligent, so I selected myself.   ",10652761,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-14",NA,1,2,1,"I believe i better understand the teachers reasoning and have better mental perspective. ",10806904,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-14",NA,1,3,2,"He knows everything. ",10660296,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Information Technology","M"
"2019-01-14",NA,1,2,2,"Denis, he a big smart boy. He do good think think.",10611134,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Information Technology","M"
"2019-01-14",NA,1,2,2,"Most of the time they know the right answer.",10766157,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Exercise Sci and Outdoor Rec","F"
"2019-01-14",NA,1,2,2,"She has a very clear understanding of the course work. She has great background knowledge of the subject, and I do not....at all. In fact I feel like I could be more of a nuisance than of help to her. ",10604422,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Information Technology","M"
"2019-01-14",NA,1,2,1,"I actually feel like we are pretty equal. We have taken classes before together and I have always felt this way so that is why I discuss material and work with him. ",10722193,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Forensic Science","F"
"2019-01-15",NA,1,2,1,"I wouldn't say that I am necessarily smarter than not sure, I regret answering yes to the question of working with any individual more than any others.  I work with the people who sit close to me in about equal proportions.  There are some who seem to be on the right track for the right answer quicker and more often than others and I tend to be among them. ",10807015,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-15",NA,1,2,2,"I have known matthew my hole life so I have a good idea of his way of thinking and its better than mine. He has better grades",10723534,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Mechatronics Engineering Tech","M"
"2019-01-16",NA,1,2,2,"He seems to put things together so much quicker than I do.",10733608,472621,"BIOL-1010-010","Brooks","University Studies","F"
"2019-01-16",NA,1,2,1,"Understand lecture more",10788285,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Mechatronics Engineering Tech","M"
"2019-01-16",NA,1,2,1,"I determined this because I know that I do well in school already, so I based my decision on my past performance. I am unsure how Kaylie has done so far, but I do know for sure about my academic performance.",10848142,474285,"BIOL-1610-012 | Spring 2019","Kopp","Biology","F"
"2019-01-16",NA,1,2,1,"There was no available answer to select that we are both smarter after interaction. So I had to select only one.",10660823,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-16",NA,1,1,1,"I have typically achieved greater scores than he has on tests and quizzes throughout our classes together.  I have been in similar classes with him my first semester here as well and we spend a lot of time working on projects and homework together.
",10753305,474285,"BIOL-1610-012 | Spring 2019","Kopp","Exercise Sci and Outdoor Rec","M"
"2019-01-16",NA,1,2,1,"its just the way i interpret speech and responses i feel smarter maybe because i contribute better answers?? i dont really know ",10830997,472621,"BIOL-1010-010","Brooks","Psychology","M"
"2019-01-16",NA,1,2,1,"Because I am able to decipher and understand questions asked easier than she is.  Also I remember more from my past experience learning this material than she does.",10745616,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Forensic Science","F"
"2019-01-16",NA,1,2,2,"I determined this by who usually has the correct responses to the questions asked in class. Also who tends to have an explanation with their response.",10784968,474285,"BIOL-1610-012 | Spring 2019","Kopp","University Studies","F"
"2019-01-16",NA,1,2,1,"I've taken more bio courses than Britten",10793767,472621,"BIOL-1010-010","Brooks","Community Health","M"
"2019-01-16",NA,1,2,2,"With the concepts that we have already discussed, he seemed to pick up on them more or understand the content more readily. My style of learning takes a lot of time and practice but he picked up and was able to direct my own learning.",10768374,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Forensic Science","M"
"2019-01-16",NA,1,2,1,"During ""group"" work, I have explained to Ryan a few more concepts to him than him I. I feel we are closely matched in general intelligence.",10538243,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","F"
"2019-01-16",NA,1,2,2,"By our discussions, he tends to under the logic of our assignments better than I am. He does also do an outstanding job of explaining concepts.",10719067,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Information Technology","M"
"2019-01-16",NA,1,3,2,"He answers more questions than i do. ",10713810,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Mechatronics Engineering Tech","M"
"2019-01-16",NA,1,2,1,"I think very thoroughly about everything that I do. He doesn't work and I work 5 days a week and still get the same grade. ",10737661,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Biology","M"
"2019-01-16",NA,1,2,2,"I have had several classes with Nate at UVU and I regularly ask for his help in certain classes, but at the same time he regularly asks for my help so we both have our areas of expertise. ",10547079,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Mechatronics Engineering Tech","M"
"2019-01-17",NA,1,2,2,"Don't wish to explain. ",10750122,472621,"BIOL-1010-010","Brooks","Theatre Arts","M"
"2019-01-17",NA,1,2,2,"Felt like sometimes her answers sound more logical and are actually the right answer. We both have had right and wrong answers but I feel like she has had more right than me.",10762697,477526,"PHYS-2010-002-003-SPRING 2018-XLIST","Shipp","Mechatronics Engineering Tech","M"
"2019-01-17",NA,1,2,1,"I don't know how to determine that. ",10869623,472621,"BIOL-1010-010","Brooks","Art Education","F"
"2019-01-17",NA,1,2,2,"He seems to know more about the subject. He has more reasonable answers. ",10805039,472621,"BIOL-1010-010","Brooks","Elementary Education","F"
"2019-01-17",NA,1,2,2,"She is very organized in her studying. She remembers well the things we have talked about in class. ",10717533,472621,"BIOL-1010-010","Brooks","Art and Design","F"
"2019-01-17",NA,1,2,2,"Hannah is really good with science. I feel that she will do better in the class because she does a lot better in science in math. Where I am just taking the class to get through my generals.",10754600,472621,"BIOL-1010-010","Brooks","Elementary Education","F"
"2019-01-17",NA,1,3,2,"Has a better grasp of concepts. ",10647964,472621,"BIOL-1010-010","Brooks","Art and Design","M"
"2019-01-17",NA,1,2,2,"I would not say she is smarter, but I would say she comes better prepared.  I know she has a book that she studies out of that helps her a lot, a book that a friend loaned her who is a biology major.",10784305,474285,"BIOL-1610-012 | Spring 2019","Kopp","Biology","M"
"2019-01-17",NA,1,2,1,"I'm not necessarily smarter in this course, but I'm a hard worker and I put forth more effort. I finish assignments faster, earlier, and with greater ease. ",10839574,474285,"BIOL-1610-012 | Spring 2019","Kopp","Pre-Professional","F"
"2019-01-18",NA,1,2,2,"I don't really think either of us is smarter, but interacting with each other allows us to come up with answers to questions.",10775556,474285,"BIOL-1610-012 | Spring 2019","Kopp","Chemistry","M"
"2019-01-19",NA,1,3,2,"Nathan has taken more Science related classes than I have. He has more knowledge on Biology than I do, and can understand it better than me at times.",10843716,474285,"BIOL-1610-012 | Spring 2019","Kopp","Pre-Professional","F"
"2019-01-21",NA,1,2,2,"He seems to have a better grasp of the material then I do",10849727,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","M"
"2019-01-21",NA,1,2,2,"She reasons well and does not jump to conclusions. She pays attention well and works hard to understand
",10767371,472621,"BIOL-1010-010 | Spring 2019","Brooks","Psychology","F"
"2019-01-21",NA,1,1,2,"She reads the book more than I do",10625167,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","M"
"2019-01-21",NA,1,2,1,"This is our second class together. We took Cell Biology last semester together and I got a better grade in that class than he did. In this class we always comment to each other and try and explain things and it's usually me that explains it to him. ",10627285,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","M"
"2019-01-21",NA,1,2,2,"I feel as though because he has more experience with chemistry he is having an easier time understanding lectures. However, i tend to work very hard to understand areas that I am not very confident in. By the end of the class I do believe we will be on the same level of awareness.",10750428,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","M"
"2019-01-21",NA,1,2,1,"I feel that I have a better understanding of the material that we are reviewing from past biology classes. I also feel that I am better able to articulate what it is that I want to say.",10743037,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","M"
"2019-01-21",NA,1,2,2,"I feel like we are both pretty equal. We both contribute to discussions and help each other with things we don't know. ",10752215,474285,"BIOL-1610-012 | Spring 2019","Kopp","Forensic Science","F"
"2019-01-21",NA,1,2,1,"I only feel like I am 'smarter' than Clayton in relation to the course material. He is a geology major interested in paleontology (hence the biology classes) while I am a biology major. So I have the advantage of having a more relevant schooling experience than he does, which has give me more background knowledge to the class.",10638022,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","M"
"2019-01-21",NA,1,3,2,"I feel he is smarter because he seems to understand more of what is going on in class. He is a lot calmer about it.",10751188,474285,"BIOL-1610-012 | Spring 2019","Kopp","Exercise Sci and Outdoor Rec","M"
"2019-01-21",NA,1,2,2,"I feel like he has good reasoning for his responses.  Since he has a good reason for his answer in class I assume he must know more.",10798612,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","F"
"2019-01-21",NA,1,2,2,"She just seems to grasp the concepts better then I do-- and she probably does. I have a  learning disability and it makes science and math very difficult for me to understand. Plus in our biology class the professor moves through concepts very quickly. I am someone who has to have a bit of time to go over each thing. By the time we are moving on to point C, I'm still stuck on A. I'm sure everyone in class is smarter then I am in this subject. Science and math just don't make sense to me on any level like English or most social sciences do. ",10743273,472621,"BIOL-1010-010 | Spring 2019","Brooks","Digital Cinema","F"
"2019-01-21",NA,1,2,2,"He has a very vast knowledge of different things. I haven't taken all the same courses he has taken and therefore he knows a little more then I. ",10649905,474285,"BIOL-1610-012 | Spring 2019","Kopp","Exercise Sci and Outdoor Rec","M"
"2019-01-21",NA,1,2,2,"He remembers subjects from other classes that I can't.  ",10795296,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","F"
"2019-01-21",NA,1,3,2,"When we talk about things in class, they know more than me. They usually are helping me understand the topics.",10754831,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology Education","F"
"2019-01-21",NA,1,2,2,"I feel that this question is unfair. To decide who is ""smarter"" seems very general and doesn't do either of us justice. I feel that Erick excels in different areas that I may lack, and I excel in areas that he lacks.",10600228,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","M"
"2019-01-21",NA,1,2,2,"Discussing our work ethic in school has helped me to determine that. Also past classes we have taken. I think we are at the same level but she does have better study habits that I have been learning to implement in my studies. ",10871979,474285,"BIOL-1610-012 | Spring 2019","Kopp","Pre-Professional","F"
"2019-01-21",NA,1,1,1,"I think I am because I am participating more in discussion and my classmate has more hesitation in his answers. I feel he has less to add to the discussion because he is unsure. I think if he studied more he would be smarter than me because he certainly has the capability to be.",10739648,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","F"
"2019-01-21",NA,1,2,1,"This is based 100% on subjective information. I think I'm smarter based on the way he talks and articulates his ideas. ",10718832,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","F"
"2019-01-21",NA,1,2,1,"While he may know certain topics better than I, overall I feel that my knowledge is more comprehensive and expansive than his. This is not to detract from his level of intelligence. I interact with him because he knows more than most. ",10672128,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","M"
"2019-01-21",NA,1,3,2,"Alex knows more in detail on the subjects we cover and often helps me understand the subject.",10853689,474285,"BIOL-1610-012 | Spring 2019","Kopp","Biology","M"
"2019-01-21",NA,1,2,1,"I usually am the one explaining things to her, BUT she's not stupid! She brings up things in discussions that I overlook! What kind of a question is this?! ",10713942,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","F"
"2019-01-21",NA,1,2,1,"We discuss things with each other and we all have good ideas. I would like to think that I am not intimidated by them being smarter than me.",10783005,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","F"
"2019-01-21",NA,1,3,2,"Amber has a master's degree and is applying to medical school. She is clearly academically gifted and a hard worker. She understands concepts more quickly than I do. ",10704609,472672,"BIOL-3700-001 | Spring 2019","Dunn","Pre-Professional","F"
"2019-01-22",NA,1,2,2,"She seems to know the answers will a well understanding.",10820583,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","F"
"2019-01-22",NA,1,1,1,"I feel that I tend to put more effort into my work. I always compare my work with others and find that I generally am above the average for all assignments.",10629306,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","M"
"2019-01-22",NA,1,2,1,"I have taken a lot more classes in the past that have helped me to be more familiar with the course subject than he has. But he also knows quite a bit as well. I would say that we are both really smart i just have more prior knowledge. ",10741253,474285,"BIOL-1610-012 | Spring 2019","Kopp","Psychology","M"
"2019-01-22",NA,1,2,1,"I feel as though I understand the content more, because im able to explain it to Krista better than her to me.",10846325,474285,"BIOL-1610-012 | Spring 2019","Kopp","Biology","M"
"2019-01-22",NA,1,2,1,"He said that in general he doesn't understand science stuff very quickly.",10736872,474285,"BIOL-1610-012 | Spring 2019","Kopp","Spanish","M"
"2019-01-22",NA,1,2,1,"Discussions about generalized knowledge on the subject have leaned toward that she might not have studied this subject as extensively. It has only been 3-ish days of class, so it may be too early to say definitively who is ""smarter"".",10653971,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","M"
"2019-01-22",NA,1,NA,1,"",10495460,472673,"BIOL-3700-002 | Spring 2019","Dunn","Integrated Studies","M"
"2019-01-22",NA,1,2,2,"Trae remembers more key fundamentals from high school that I was never taught or could not remember. He also seems confident with his answers on the clicker quizzes and also explains things that I missed during the class lecture.",10777088,474285,"BIOL-1610-012 | Spring 2019","Kopp","Pre-Professional","M"
"2019-01-22",NA,1,2,2,"She is further along in her degree and seems to have acquired more knowledge than me because she has taken a few more classes than me. ",10754503,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","F"
"2019-01-22",NA,1,2,2,"Whoever has more logical and precise comments. More than not he will know more about the subject than I. I agree with most of what he has to say.",10812372,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","M"
"2019-01-22",NA,1,2,1,"I don't know her well enough to assume that she is smarter than me. I am usually one of the top scores in the class though, so if I am going based on history I am just going to assume I am smarter.",10789719,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","M"
"2019-01-22",NA,1,2,1,"I don't have much to go off of yet, but he has a lower grade expectation. ",10713191,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","M"
"2019-01-22",NA,1,1,2,"She seems to be more quiet and just knows the material where is I have to ask questions to stay on the same page.",10785910,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","M"
"2019-01-22",NA,1,2,1,"I use the clicker questions to determine this.  I am able to more easily and quick draw conclusions to the correct answers.",10754646,474285,"BIOL-1610-012 | Spring 2019","Kopp","Business/Marketing Education","M"
"2019-01-22",NA,1,2,1,"When we have discussions I am the one that usually has to start the conversation and share what I think as he does not share as much information with me. He mainly will agree with what I say.",10771244,472673,"BIOL-3700-002 | Spring 2019","Dunn","Pre-Professional","M"
"2019-01-22",NA,1,3,1,"I feel we are just about equal. I have a lot of perspective and knowledge from previous classes I've taken however he thinks through questions really well and can make excellent educated assumptions. ",10643891,474285,"BIOL-1610-012 | Spring 2019","Kopp","Pre-Professional","F"
"2019-01-22",NA,1,2,1,"Everyone is equally smart in their own ways. I feel as if I am better at the interpretation of questions.",10823808,474285,"BIOL-1610-012 | Spring 2019","Kopp","Pre-Professional","F"
"2019-01-22",NA,1,3,1,"I can more effectively understand concepts. To be fair, I think I have a better background than she does. Sorry that I don't know her name ",10869045,474285,"BIOL-1610-012 | Spring 2019","Kopp","University Studies","M"
"2019-01-23",NA,1,2,1,"I don't totally know this other person and I feel like I have learned more from this class so that makes me smarter. He may know what I know, but I don't know what he remembers. I remember well, so I figure I am smarter. ",10728208,476742,"BIOL-1610-005 | Spring 2019","Wagner","Biotechnology","M"
"2019-01-23",NA,1,2,1,"I remember things we talk about and that I write down. I like biology and I think I understand lots of it, not all. I just feel I'm smarter and I'll say that to help boost myself into thinking I am smarter. That will make me better in class. ",10728208,476742,"BIOL-1610-005 | Spring 2019","Wagner","Biotechnology","M"
"2019-01-23",NA,1,2,1,"I help him understand more complex things but he knows the basics very well.",10768956,472651,"BIOL-1610-001 | Spring 2019","Wagner","Exercise Sci and Outdoor Rec","M"
"2019-01-23",NA,1,2,2,"The way they seem to have faster knowledge recall and memory. They can explain things in more depth. ",10780960,476742,"BIOL-1610-005 | Spring 2019","Wagner","Theatre Arts","F"
"2019-01-23",NA,1,3,2,"He has a more understanding of the topics. He also had a big vocabulary which sometimes makes people seem smarter.",10768266,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","F"
"2019-01-23",NA,1,3,1,"our grades on assignments",10629206,472734,"ZOOL-3200-001 | Spring 2019","Dunn","Biology","M"
"2019-01-23",NA,1,2,1,"I took a class before this one, and it helped me in this class. I don't think I am smarter than her, I just have more experience in this subject because of my previous class in biology. When she asks me questions in helps me learn and understand the concept better. ",10766128,472651,"BIOL-1610-001 | Spring 2019","Wagner","University Studies","F"
"2019-01-23",NA,1,2,2,"Ellie had a stronger base understanding of Biology than I did entering the course. I don't necessarily believe that she's more capable than me in this class, but at the beginning of the year I was behind in the reading and so I felt like her knowledge was ahead of mine as well. ",10847038,476742,"BIOL-1610-005 | Spring 2019","Wagner","Exercise Sci and Outdoor Rec","F"
"2019-01-23",NA,1,2,2,"Sadie has a better grasp at remembering concepts long-term, whereas I tend to forget semester to semester. Sadie has helped me a lot throughout the last three years of college.",10550450,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","M"
"2019-01-23",NA,1,3,1,"When the teacher asks questions I am usually the one to suggest the correct answer. Jessica confirms what I think and that gives me the confidence to go with my thought.",10768386,472651,"BIOL-1610-001 | Spring 2019","Wagner","Pre-Professional","F"
"2019-01-23",NA,1,3,2,"He looks likes he studies more and asks more questions. He is taking more classes and he is doing well in most of them",10802102,472651,"BIOL-1610-001 | Spring 2019","Wagner","Pre-Professional","M"
"2019-01-23",NA,1,2,2,"When we work through practice questions who is giving the right answer more often. We are usually about even",10830545,476742,"BIOL-1610-005 | Spring 2019","Wagner","Pre-Professional","F"
"2019-01-23",NA,1,2,2,"They are able to relate things from other classes to what we are talking about in class well. They also seem to know more about the subject of the class already (or at least more applicable fun facts). ",10734260,472734,"ZOOL-3200-001 | Spring 2019","Dunn","Biology","F"
"2019-01-23",NA,1,2,1,"Hayden is very smart but I think I am smarter because I have taken more classes and have a deeper knowledge of many of the topics that we cover in class.",10713921,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","F"
"2019-01-23",NA,1,2,2,"I'm not really sure which one of us is smarter, we haven't done a lot of work together in our class so far. Whenever we have to answer an iClicker question we usually both know the answer and we just check with each other. We work together more because we sit right next to each other.",10853627,472651,"BIOL-1610-001 | Spring 2019","Wagner","Pre-Professional","F"
"2019-01-23",NA,1,1,1,"Whenever we are answering questions or doing a clicker quiz, I always tend to get the to the right answer faster than she does. Or I get the right answer more than her in general.",10849344,472651,"BIOL-1610-001 | Spring 2019","Wagner","Exercise Sci and Outdoor Rec","F"
"2019-01-23",NA,1,3,2,"Jared is able to understand and recite concepts very quickly with nearly no hesitation. He has a good foundation and knowledge of the topics, is not afraid to ask questions, and has a great memory. ",10749220,476742,"BIOL-1610-005 | Spring 2019","Wagner","Exercise Sci and Outdoor Rec","F"
"2019-01-23",NA,1,3,2,"He is more knowledgeable on the subject. He can think his way through every question asked by the professor ",10781115,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","F"
"2019-01-23",NA,1,2,2,"They bring good insights and ideas into the conversation and i feel like i do contribute to our conversation but i learn so much through them",10828072,472651,"BIOL-1610-001 | Spring 2019","Wagner","Pre-Professional","F"
"2019-01-23",NA,1,1,1,"I just think I am more determined to get a good grade so I am willing to put in more time",10827952,472651,"BIOL-1610-001 | Spring 2019","Wagner","Computer Science","F"
"2019-01-23",NA,1,2,2,"Olivia answers many of my questions during lectures or group work. At times we both talk about a subject to find an answer but many times she already knows the answer and explains it to me. ",10822092,472651,"BIOL-1610-001 | Spring 2019","Wagner","Pre-Professional","F"
"2019-01-23",NA,1,2,1,"The two weeks that i've been in class with Cassidy I feel like I get concepts a little bit better. When we have worked on case studies in class I feel like I know the concepts  a little better than her. ",10822342,476742,"BIOL-1610-005 | Spring 2019","Wagner","Pre-Professional","F"
"2019-01-23",NA,1,2,2,"In the past, Caleb has taken high level biology classes. So this current biology class is more of a review for him. However, he is willing to help me understand the biology processes we are learning in class.",10013496,476742,"BIOL-1610-005 | Spring 2019","Wagner","Pre-Professional","F"
"2019-01-23",NA,1,2,1,"I like to think I am smarter because I think it helps my self confidence and if I am feeling confident I am more likely to do well in the class. But I honestly think we are very capable students and I am happy to be his classmate.",10613987,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","M"
"2019-01-23",NA,1,2,1,"I have a better understanding of the review material. ",10743037,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","M"
"2019-01-23",NA,1,3,2,"She seems to know more than me. She feels more confident in her answers. ",10659415,472651,"BIOL-1610-001 | Spring 2019","Wagner","Behavioral Science","M"
"2019-01-23",NA,1,2,2,"He simply remembers things better than me. ",10742899,472651,"BIOL-1610-001 | Spring 2019","Wagner","Computer Science","M"
"2019-01-23",NA,1,2,2,"Whoever knows the most about the material. ",10704667,472734,"ZOOL-3200-001 | Spring 2019","Dunn","Biology","F"
"2019-01-23",NA,1,2,1,"Smarter is the wrong word but its one of my last semesters and everything we have learned so far I have already learned before in other classes, whereas the person i work with is less into their schooling",10722602,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","F"
"2019-01-23",NA,1,2,1,"My assessment is based purely on experience in the subject; I've currently taken more classes than her in Biology, Chemistry, and Physics. My assessment may easily change as we both progress through the course.",10835714,476742,"BIOL-1610-005 | Spring 2019","Wagner","Computer Science","M"
"2019-01-24",NA,1,2,2,"I feel like he has more of a background in anatomy and such. I do not have much of a background there because I have not taken that course yet. ",10652275,472734,"ZOOL-3200-001 | Spring 2019","Dunn","Biology Education","M"
"2019-01-24",NA,1,2,1,"I wouldn't necessarily say I'm smarter. I have been in school longer though and I am more familiar with the subject of biology",10693898,472651,"BIOL-1610-001 | Spring 2019","Wagner","Pre-Professional","M"
"2019-01-24",NA,1,1,1,"Given our first two quizzes from lab I have received higher scores because I have graded her quizzes.",10636299,472734,"ZOOL-3200-001 | Spring 2019","Dunn","Biology","M"
"2019-01-24",NA,1,2,2,"He has been in biology longer than I have. He also has taken several biology classes and it is part of his major so he knows a lot about the subject already.",10820801,472651,"BIOL-1610-001 | Spring 2019","Wagner","Computer Science","M"
"2019-01-24",NA,1,2,1,"I do not judge how smart someone is depending on how vocal they are. I know a lot of people who act smart in class and use big words but then do terrible on the tests. I look at how quickly someone picks up new concepts. Megan and I both pick up new concepts pretty quickly I am not sure who is smarter yet.
",10742660,472672,"BIOL-3700-001 | Spring 2019","Dunn","Pre-Professional","M"
"2019-01-24",NA,1,2,1,"We're probably  on about similar levels. I just talk more when we do our activities in class. ",10810907,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","F"
"2019-01-24",NA,1,1,2,"She always has unique aspects of the natural world to bring up in discussions. She has a plethora of outside knowledge. ",10720577,472672,"BIOL-3700-001 | Spring 2019","Dunn","Integrated Studies","F"
"2019-01-24",NA,1,2,1,"Though she appears to know all the material and our discussions are useful to both of us, she is unwilling to make the first statement. I intentionally say half a statement to allow her to contribute to the conversation and make her feel involved. This isn't really a measure of who is smarter, just who is more confident. ",10884657,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","F"
"2019-01-24",NA,1,2,2,"I honestly feel like we both are equally smart and have similar knowledge of the course material but I answered the question towards him to be modest. We both help each other out with certain topics and equally support each other.",10745315,472672,"BIOL-3700-001 | Spring 2019","Dunn","Biology","M"
"2019-01-24",NA,1,2,2,"I feel that he has a better understanding of the material sometimes. I feel the way he uses certain vocabulary or specific terms we learned in our course make him seem more confident/smarter in the subject.",10618214,472673,"BIOL-3700-002 | Spring 2019","Dunn","Biology","M"
"2019-01-24",NA,1,2,2,"I probably don't have as much experience with studying biology as many of the other people in my class that are most likely biology majors. ",10736357,472672,"BIOL-3700-001 | Spring 2019","Dunn","English","F"
