"UVID","Question.number","Question","Answer"
10627412,"1","What.is.your.gender.",0
10217214,"1","What.is.your.gender.",1
10791974,"1","What.is.your.gender.",1
10006972,"1","What.is.your.gender.",1
10544883,"1","What.is.your.gender.",0
10694768,"1","What.is.your.gender.",0
10808341,"1","What.is.your.gender.",0
10662629,"1","What.is.your.gender.",0
10796866,"1","What.is.your.gender.",1
10844250,"1","What.is.your.gender.",0
10646520,"1","What.is.your.gender.",0
10591331,"1","What.is.your.gender.",0
10681139,"1","What.is.your.gender.",0
10794504,"1","What.is.your.gender.",1
10709874,"1","What.is.your.gender.",0
10748843,"1","What.is.your.gender.",1
10817493,"1","What.is.your.gender.",1
10756376,"1","What.is.your.gender.",1
10557678,"1","What.is.your.gender.",0
10684257,"1","What.is.your.gender.",1
10664872,"1","What.is.your.gender.",0
10584193,"1","What.is.your.gender.",0
10736872,"1","What.is.your.gender.",0
10033831,"1","What.is.your.gender.",0
10698325,"1","What.is.your.gender.",0
10713104,"1","What.is.your.gender.",0
10331065,"1","What.is.your.gender.",0
10804085,"1","What.is.your.gender.",0
10742835,"1","What.is.your.gender.",1
10748574,"1","What.is.your.gender.",0
10697832,"1","What.is.your.gender.",0
10683929,"1","What.is.your.gender.",0
10771956,"1","What.is.your.gender.",0
10713485,"1","What.is.your.gender.",0
10526892,"1","What.is.your.gender.",0
10824253,"1","What.is.your.gender.",0
10625004,"1","What.is.your.gender.",0
10798349,"1","What.is.your.gender.",0
10831708,"1","What.is.your.gender.",0
10796866,"1","What.is.your.gender.",1
10733947,"1","What.is.your.gender.",1
10732196,"1","What.is.your.gender.",0
10778879,"1","What.is.your.gender.",1
10844250,"1","What.is.your.gender.",0
10756376,"1","What.is.your.gender.",0
10686325,"1","What.is.your.gender.",1
10746678,"1","What.is.your.gender.",0
10797171,"1","What.is.your.gender.",0
10801716,"1","What.is.your.gender.",0
10762899,"1","What.is.your.gender.",1
10718584,"1","What.is.your.gender.",0
10766074,"1","What.is.your.gender.",1
10767182,"1","What.is.your.gender.",1
10627412,"1","What.is.your.gender.",0
10717300,"1","What.is.your.gender.",0
10829903,"1","What.is.your.gender.",0
10745745,"1","What.is.your.gender.",0
10735089,"1","What.is.your.gender.",0
10820770,"1","What.is.your.gender.",0
10642101,"1","What.is.your.gender.",0
10804085,"1","What.is.your.gender.",0
10337129,"1","What.is.your.gender.",0
10737824,"1","What.is.your.gender.",0
10275646,"1","What.is.your.gender.",0
10544883,"1","What.is.your.gender.",0
10687047,"1","What.is.your.gender.",0
10783406,"1","What.is.your.gender.",0
10778180,"1","What.is.your.gender.",1
10713104,"1","What.is.your.gender.",0
10771956,"1","What.is.your.gender.",0
10762899,"1","What.is.your.gender.",1
10713485,"1","What.is.your.gender.",0
10741779,"1","What.is.your.gender.",0
10766074,"1","What.is.your.gender.",1
10794504,"1","What.is.your.gender.",1
10777529,"1","What.is.your.gender.",1
10646772,"1","What.is.your.gender.",0
10785330,"1","What.is.your.gender.",1
10752762,"1","What.is.your.gender.",1
10751651,"1","What.is.your.gender.",1
10835193,"1","What.is.your.gender.",1
10702038,"1","What.is.your.gender.",1
10683808,"1","What.is.your.gender.",1
10724436,"1","What.is.your.gender.",0
10698041,"1","What.is.your.gender.",0
10771266,"1","What.is.your.gender.",1
10807463,"1","What.is.your.gender.",0
10588629,"1","What.is.your.gender.",1
10761068,"1","What.is.your.gender.",0
10747778,"1","What.is.your.gender.",1
10734814,"1","What.is.your.gender.",0
10613694,"1","What.is.your.gender.",0
10810104,"1","What.is.your.gender.",1
10788907,"1","What.is.your.gender.",1
10842764,"1","What.is.your.gender.",0
10807185,"1","What.is.your.gender.",1
10773351,"1","What.is.your.gender.",0
10721073,"1","What.is.your.gender.",1
10031834,"1","What.is.your.gender.",0
10650642,"1","What.is.your.gender.",0
10667170,"1","What.is.your.gender.",1
10788887,"1","What.is.your.gender.",1
10731862,"1","What.is.your.gender.",1
10820258,"1","What.is.your.gender.",1
10808167,"1","What.is.your.gender.",0
10761761,"1","What.is.your.gender.",0
10792169,"1","What.is.your.gender.",0
10814975,"1","What.is.your.gender.",0
10650483,"1","What.is.your.gender.",0
10810878,"1","What.is.your.gender.",1
10614032,"1","What.is.your.gender.",0
10539823,"1","What.is.your.gender.",0
10785330,"1","What.is.your.gender.",1
10771684,"1","What.is.your.gender.",1
10698041,"1","What.is.your.gender.",0
10769335,"1","What.is.your.gender.",0
10814855,"1","What.is.your.gender.",0
10598356,"1","What.is.your.gender.",0
10732480,"1","What.is.your.gender.",1
10684260,"1","What.is.your.gender.",0
10719588,"1","What.is.your.gender.",0
10661231,"1","What.is.your.gender.",0
10680264,"1","What.is.your.gender.",1
10808067,"1","What.is.your.gender.",1
10660245,"1","What.is.your.gender.",1
10734814,"1","What.is.your.gender.",0
10734814,"1","What.is.your.gender.",0
10731044,"1","What.is.your.gender.",0
10810900,"1","What.is.your.gender.",1
10774899,"1","What.is.your.gender.",0
10782723,"1","What.is.your.gender.",0
10782723,"1","What.is.your.gender.",0
10664451,"1","What.is.your.gender.",0
10683808,"1","What.is.your.gender.",1
10771266,"1","What.is.your.gender.",1
10791984,"1","What.is.your.gender.",1
10780669,"1","What.is.your.gender.",1
10807463,"1","What.is.your.gender.",0
10734251,"1","What.is.your.gender.",0
10809461,"1","What.is.your.gender.",1
10806631,"1","What.is.your.gender.",1
10810643,"1","What.is.your.gender.",1
10810643,"1","What.is.your.gender.",NA
10802498,"1","What.is.your.gender.",0
10741066,"1","What.is.your.gender.",0
10835151,"1","What.is.your.gender.",1
10545011,"1","What.is.your.gender.",1
10681199,"1","What.is.your.gender.",1
10682694,"1","What.is.your.gender.",0
10704181,"1","What.is.your.gender.",0
10519316,"1","What.is.your.gender.",0
10723617,"1","What.is.your.gender.",0
10787277,"1","What.is.your.gender.",1
10819765,"1","What.is.your.gender.",0
10784917,"1","What.is.your.gender.",0
10785441,"1","What.is.your.gender.",1
10814528,"1","What.is.your.gender.",0
10750396,"1","What.is.your.gender.",1
10807713,"1","What.is.your.gender.",1
10797654,"1","What.is.your.gender.",1
10733701,"1","What.is.your.gender.",1
10829903,"1","What.is.your.gender.",0
10829903,"1","What.is.your.gender.",0
10766074,"1","What.is.your.gender.",1
10331065,"1","What.is.your.gender.",0
10713104,"1","What.is.your.gender.",0
10732196,"1","What.is.your.gender.",0
10591331,"1","What.is.your.gender.",0
10789238,"1","What.is.your.gender.",0
10337129,"1","What.is.your.gender.",0
10813904,"1","What.is.your.gender.",1
10742835,"1","What.is.your.gender.",1
10820770,"1","What.is.your.gender.",0
10713485,"1","What.is.your.gender.",0
10764568,"1","What.is.your.gender.",1
10805783,"1","What.is.your.gender.",0
10778180,"1","What.is.your.gender.",1
10651493,"1","What.is.your.gender.",0
10634543,"1","What.is.your.gender.",1
10698325,"1","What.is.your.gender.",0
10259870,"1","What.is.your.gender.",0
10798349,"1","What.is.your.gender.",0
10784182,"1","What.is.your.gender.",1
10748749,"1","What.is.your.gender.",1
10591331,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10647455,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10678310,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10713339,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10735089,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10778879,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10808341,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10642101,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10522336,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10774061,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10678282,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10733701,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10006972,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10783352,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10764568,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10337129,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10275646,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10731365,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10661872,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10627575,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10576014,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10717300,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10751183,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10686325,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10646622,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10766571,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10817493,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10784182,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10762899,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10783406,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10661674,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10756431,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10523939,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10664378,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10776423,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10766074,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10741779,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10192599,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10522336,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10728996,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10788850,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10743394,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10778879,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10686083,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10723148,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10789880,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10754508,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10612322,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10778180,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10678282,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10634543,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10690753,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10661872,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10789238,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10771130,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10231042,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10627412,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10217214,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10791974,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10006972,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10544883,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10694768,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10808341,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10662629,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10796866,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10844250,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10646520,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10591331,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10681139,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10794504,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10709874,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10748843,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10817493,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10756376,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10557678,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10684257,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10664872,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10584193,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10736872,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10033831,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10698325,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10713104,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10331065,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10804085,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10742835,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10748574,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10697832,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10683929,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10771956,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10713485,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10526892,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10824253,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10625004,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10798349,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10831708,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10796866,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10733947,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10732196,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10778879,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10844250,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10756376,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10686325,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10746678,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10797171,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10801716,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10762899,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10718584,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10766074,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10767182,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10627412,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10717300,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10829903,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10745745,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10735089,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10820770,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10642101,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10804085,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10337129,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10737824,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10275646,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10544883,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10687047,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10783406,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10778180,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10713104,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10771956,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10762899,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10713485,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10741779,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10766074,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10794504,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10777529,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10646772,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10785330,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10752762,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10751651,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10835193,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10702038,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10683808,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10724436,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10698041,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10771266,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10807463,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10588629,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10761068,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10747778,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10734814,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10613694,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10810104,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10788907,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10842764,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10807185,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10773351,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10721073,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10031834,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10650642,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10667170,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10788887,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10731862,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10820258,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10808167,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10761761,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10792169,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10814975,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10650483,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10810878,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10614032,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10539823,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10785330,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10771684,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10698041,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10769335,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10814855,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10598356,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10732480,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10684260,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10719588,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10661231,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10680264,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10808067,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10660245,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10734814,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10734814,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10731044,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10810900,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10774899,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10782723,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10782723,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10664451,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10683808,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10771266,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10791984,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10780669,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10807463,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10734251,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10809461,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10806631,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10810643,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10810643,"2","My.curiosity.about.scientific.issues.has.not.changed.",NA
10802498,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10741066,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10835151,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10545011,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10681199,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10682694,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10704181,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10519316,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10723617,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10787277,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10819765,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10784917,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10785441,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10814528,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10750396,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10807713,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10797654,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10733701,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10829903,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10829903,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10766074,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10331065,"2","My.curiosity.about.scientific.issues.has.not.changed.",1
10713104,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10732196,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10591331,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10789238,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10337129,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10813904,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10742835,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10820770,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10713485,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10764568,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10805783,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10778180,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10651493,"2","My.curiosity.about.scientific.issues.has.not.changed.",5
10634543,"2","My.curiosity.about.scientific.issues.has.not.changed.",2
10698325,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10259870,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10798349,"2","My.curiosity.about.scientific.issues.has.not.changed.",3
10784182,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10748749,"2","My.curiosity.about.scientific.issues.has.not.changed.",4
10591331,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",5
10647455,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10678310,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",5
10713339,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10735089,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10778879,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",3
10808341,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",5
10642101,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10522336,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10774061,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10678282,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10733701,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",5
10006972,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10783352,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10764568,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10337129,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",5
10275646,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",5
10731365,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",5
10661872,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10627575,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",3
10576014,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10717300,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",3
10751183,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10686325,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10646622,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",5
10766571,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10817493,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10784182,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10762899,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10783406,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10661674,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
10756431,"3","I.realize.that.there.are.things.that.I.can.do.to.make.the.world.a.better.place.",4
